agency_id,parser_id,docs_fetched,doc_count,docs_inserted,date_range_min,date_range_max,error
temecula-police-department,civicplus,16,0,0,2024-06-11T00:00:00,2026-02-19T00:00:00,
amador-county-district-attorney,rave,0,0,0,,,
anaheim-police-department,civicplus,0,0,0,,,
colusa-county-sheriffs-department,civicplus,3,0,0,2026-02-04T00:00:00,2026-02-17T00:00:00,
mountain-view-police-department,citizenrims,0,0,0,,,
irwindale-police-department,civicplus,9,0,0,2018-02-24T00:00:00,2025-11-24T00:00:00,
yreka-police-department,citizenrims,0,0,0,,,
butte-county-sheriffs-departmentcoroner,citizenrims,0,0,0,,,
escondido-police-department,civicplus,0,0,0,,,
los-gatosmonte-sereno-police-department,civicplus,12,0,0,2023-01-03T00:00:00,2026-02-20T00:00:00,
plumas-county-district-attorney,civicplus,6,0,0,2025-10-03T00:00:00,2026-02-10T00:00:00,
tiburon-police-department,civicplus,9,0,0,2025-01-22T00:00:00,2026-02-20T00:00:00,
kerman-police-department,civicplus,12,0,0,2023-08-16T00:00:00,2026-02-18T00:00:00,
santa-barbara-police-department,arcgis,0,0,0,,,
angels-camp-police-department,nixle,9,0,0,2016-08-18T14:54:10-07:00,2025-08-21T10:06:31-07:00,
san-rafael-police-department,nixle,0,0,0,,,
los-rios-community-college-district-police-department,citizenrims,0,0,0,,,
eureka-police-department,civicplus,0,0,0,,,
plumas-county-sheriffs-department,civicplus,6,0,0,2025-10-03T00:00:00,2026-02-10T00:00:00,
antioch-police-department,citizenrims,39,39,0,,,
yuba-county-sheriffs-department,citizenrims,0,0,0,,,
santa-clara-police-department,socrata,0,0,0,,,
tracy-police-department,rave,1,1,0,,,
napa-county-district-attorney,civicplus,24,0,0,2024-04-05T00:00:00,2026-02-17T00:00:00,
mammoth-lakes-police-department,civicplus,0,0,0,,,
port-hueneme-police-department,civicplus,3,0,0,2026-01-21T00:00:00,2026-02-19T00:00:00,
arcata-police-department,citizenrims,0,0,0,,,
trinity-county-district-attorney,civicplus,10,0,0,2023-05-08T00:00:00,2026-02-19T00:00:00,
concord-police-department,civicplus,8,0,0,2025-08-28T00:00:00,2026-02-20T00:00:00,
santa-ana-police-department,rave,0,0,0,,,
napa-county-sheriffs-department,civicplus,24,0,0,2024-04-05T00:00:00,2026-02-17T00:00:00,
santa-monica-police-department,arcgis,0,0,0,,,
ca-department-of-fish-and-wildlife,arcgis,0,0,0,,,
manteca-police-department,citizenrims,0,0,0,,,
farmersville-police-department,civicplus,4,0,0,2011-10-28T00:00:00,2026-02-12T00:00:00,
red-bluff-police-department,citizenrims,0,0,0,,,
trinity-county-sheriffs-department,civicplus,10,0,0,2023-05-08T00:00:00,2026-02-19T00:00:00,
arroyo-grande-police-department,civicplus,0,0,0,,,
king-city-police-department,civicplus,10,0,0,2016-11-22T00:00:00,2026-02-02T00:00:00,
napa-police-department,civicplus,7,0,0,2024-10-10T00:00:00,2026-02-04T00:00:00,
marina-department-of-public-safety,civicplus,3,0,0,2025-10-07T00:00:00,2026-02-19T00:00:00,
corcoran-police-department,citizenrims,0,0,0,,,
atascadero-police-department,arcgis,0,0,0,,,
santa-rosa-police-department,civicplus,100,0,0,2025-09-04T00:00:00,2026-02-17T00:00:00,
kingsburg-police-department,civicplus,2,0,0,2024-07-15T00:00:00,2025-02-27T00:00:00,
contra-costa-county-district-attorney,civicplus,500,0,0,2023-12-14T00:00:00,2026-02-20T00:00:00,
scotts-valley-police-department,citizenrims,0,0,0,,,
nevada-city-police-department,civicplus,3,0,0,2025-07-09T00:00:00,2026-02-18T00:00:00,
ca-department-of-consumer-affairs-division-of-investigation,rave,0,0,0,,,
fortuna-police-department,citizenrims,0,0,0,,,
tuolumne-county-sheriffs-department,citizenrims,0,0,0,,,
atherton-police-department,citizenrims,0,0,0,,,
corning-police-department,citizenrims,0,0,0,,,
la-habra-police-department,civicplus,1,0,0,2025-12-17T00:00:00,2025-12-17T00:00:00,
fountain-valley-police-department,civicplus,3,0,0,2026-02-19T00:00:00,2026-02-19T00:00:00,
seaside-police-department,civicplus,0,0,0,,,
mariposa-county-district-attorney,civicplus,5,0,0,2018-10-03T00:00:00,2026-01-16T00:00:00,
richmond-police-department,civicplus,12,0,0,2022-08-16T00:00:00,2026-02-18T00:00:00,
coronado-police-department,citizenrims,0,0,0,,,
auburn-police-department,citizenrims,0,0,0,,,
tustin-police-department,civicplus,21,0,0,2022-06-07T00:00:00,2026-02-19T00:00:00,
lake-county-district-attorney,civicplus,9,0,0,2016-11-22T00:00:00,2026-02-11T00:00:00,
nevada-county-district-attorney,civicplus,200,0,0,2022-03-18T00:00:00,2026-02-20T00:00:00,
sebastopol-police-department,citizenrims,0,0,0,,,
fresno-police-department,arcgis,0,0,0,,,
uc-irvine-police-department,citizenrims,0,0,0,,,
mariposa-county-sheriffs-department,civicplus,5,0,0,2018-10-03T00:00:00,2026-01-16T00:00:00,
