agency_id,canonical_name,detected_platform,detection_source
ca-state-public-defender,CA State Public Defender,unknown,
cathedral-city-police-department,Cathedral City Police Department,unknown,
central-marin-police-authority,Central Marin Police Authority,civicplus,homepage_url:html=civicplus
ceres-police-department,Ceres Police Department,civicplus,homepage_url:html=civicplus
cerritos-college-police-department,Cerritos College Police Department,rave,homepage_url:html=rave
chaffey-community-college-district-police-department,Chaffey Community College District Police Department,unknown,
chapman-university-department-of-public-safety,Chapman University Department of Public Safety,unknown,
chico-police-department,Chico Police Department,arcgis,homepage_url:html=arcgis
chino-police-department,Chino Police Department,civicplus,homepage_url:html=civicplus
chowchilla-police-department,Chowchilla Police Department,civicplus,homepage_url:html=civicplus
chula-vista-police-department,Chula Vista Police Department,unknown,
citrus-community-college-district-department-of-campus-safety,Citrus Community College District Department of Campus Safety,unknown,
citrus-heights-police-department,Citrus Heights Police Department,civicplus,homepage_url:html=civicplus
claremont-college-department-of-campus-safety,Claremont College Department of Campus Safety,unknown,
claremont-police-department,Claremont Police Department,rave,homepage_url:html=smart911
clayton-police-department,Clayton Police Department,nixle,homepage_url:html=nixle
clearlake-police-department,Clearlake Police Department,citizenrims,homepage_url:html=CitizenRIMS
cloverdale-police-department,Cloverdale Police Department,civicplus,homepage_url:html=civicplus
clovis-police-department,Clovis Police Department,unknown,
clovis-unified-school-district-police-department,Clovis Unified School District Police Department,unknown,
coalinga-police-department,Coalinga Police Department,civicplus,homepage_url:html=civicplus
college-of-the-redwoods,College of the Redwoods,unknown,
college-of-the-sequoias-police-department,College of the Sequoias Police Department,unknown,
colma-police-department,Colma Police Department,unknown,
colton-police-department,Colton Police Department,crimemapping,homepage_url:html=crimemapping
colusa-county-district-attorney,Colusa County District Attorney,civicplus,homepage_url:html=civicplus
colusa-county-sheriffs-department,Colusa County Sheriff's Department,civicplus,homepage_url:html=civicplus
colusa-police-department,Colusa Police Department,unknown,
compton-community-college-police-department,Compton Community College Police Department,nixle,homepage_url:html=nixle
compton-unified-school-district-police-department,Compton Unified School District Police Department,unknown,
concordia-university-department-of-campus-safety-and-security,Concordia University Department of Campus Safety and Security,rave,homepage_url:html=rave
concord-police-department,Concord Police Department,civicplus,homepage_url:html=civicplus
contra-costa-community-college-district-police-department,Contra Costa Community College District Police Department,unknown,
contra-costa-county-district-attorney,Contra Costa County District Attorney,civicplus,homepage_url:html=civicplus
contra-costa-county-sheriffs-departmentcoroner,Contra Costa County Sheriff's Department/Coroner,unknown,
corona-police-department,Corona Police Department,crimemapping,homepage_url:html=crimemapping
costa-mesa-department-of-communications,Costa Mesa Department of Communications,unknown,
costa-mesa-police-department,Costa Mesa Police Department,arcgis,feed_url:html=arcgis
cosumnes-river-college-police-department,Cosumnes River College Police Department,unknown,
cotati-police-department,Cotati Police Department,civicplus,homepage_url:html=civicplus
covina-police-department,Covina Police Department,nixle,homepage_url:html=nixle
cpsu-pomona-department-of-public-safety,CPSU Pomona Department of Public Safety,unknown,
cpsu-san-luis-obispo-university-police-department,CPSU San Luis Obispo University Police Department,unknown,
crescent-city-police-department,Crescent City Police Department,unknown,
csu-bakersfield-university-police-department,CSU Bakersfield University Police Department,unknown,
csu-dominguez-hills-university-police-department,CSU Dominguez Hills University Police Department,unknown,
csu-east-bay-university-police-department,CSU East Bay University Police Department,unknown,
csu-fresno-university-police-department,CSU Fresno University Police Department,unknown,
csu-humboldt-university-police-department,CSU Humboldt University Police Department,unknown,
csu-long-beach-university-police-department,CSU Long Beach University Police Department,unknown,
csu-los-angeles-university-police-department,CSU Los Angeles University Police Department,unknown,
csu-monterey-bay-university-police-department,CSU Monterey Bay University Police Department,unknown,
csu-northridge-department-of-police-services,CSU Northridge Department of Police Services,unknown,
csu-sacramento-public-safetyuniversity-police-department,CSU Sacramento Public Safety/University Police Department,unknown,
csu-san-bernardino-university-police-department,CSU San Bernardino University Police Department,unknown,
csu-san-diego-pd,CSU San Diego PD,unknown,
csu-san-francisco-police-department,CSU San Francisco Police Department,unknown,
csu-san-jose-university-police-department,CSU San Jose University Police Department,unknown,
csu-san-marcos-university-police-department,CSU San Marcos University Police Department,unknown,
csu-sonoma-police-and-parking-services,CSU Sonoma Police and Parking Services,unknown,
csu-stanislaus-university-police-department,CSU Stanislaus University Police Department,unknown,
cuesta-college-department-of-public-safety,Cuesta College Department of Public Safety,unknown,
culver-city-police-department,Culver City Police Department,unknown,
cypress-police-department,Cypress Police Department,unknown,
daly-city-police-department,Daly City Police Department,civicplus,homepage_url:html=civicplus
dana-point-police-department,Dana Point Police Department,unknown,
danville-police-department,Danville Police Department,civicplus,homepage_url:html=civicplus
davis-police-department,Davis Police Department,unknown,
delano-police-department,Delano Police Department,civicplus,homepage_url:html=civicplus
del-norte-county-district-attorney,Del Norte County District Attorney,unknown,
del-rey-oaks-police-department,Del Rey Oaks Police Department,unknown,
desert-hot-springs-police-department,Desert Hot Springs Police Department,unknown,
dixon-police-department,Dixon Police Department,unknown,
dos-palos-police-department,Dos Palos Police Department,unknown,
downey-police-department,Downey Police Department,unknown,
east-bay-regional-parks-district-department-of-public-safety,East Bay Regional Parks District Department of Public Safety,nixle,homepage_url:html=nixle
east-palo-alto-police-department,East Palo Alto Police Department,unknown,
el-cajon-police-department,El Cajon Police Department,unknown,
el-camino-community-college-district-police-department,El Camino Community College District Police Department,unknown,
el-cerrito-police-department,El Cerrito Police Department,civicplus,homepage_url:html=civicplus
el-dorado-county-district-attorney,El Dorado County District Attorney,unknown,
elk-grove-police-department,Elk Grove Police Department,unknown,
el-monte-police-department,El Monte Police Department,civicplus,homepage_url:html=civicplus
el-rancho-unified-school-district-police-department,El Rancho Unified School District Police Department,unknown,
el-segundo-police-department,El Segundo Police Department,unknown,
escalon-police-department,Escalon Police Department,nixle,homepage_url:html=nixle
escondido-police-department,Escondido Police Department,civicplus,homepage_url:html=civicplus
etna-police-department,Etna Police Department,unknown,
eureka-police-department,Eureka Police Department,civicplus,homepage_url:html=civicplus
exeter-police-department,Exeter Police Department,unknown,
exposition-park-department-of-public-safety,Exposition Park Department of Public Safety,rave,homepage_url:html=rave
fairfax-police-department,Fairfax Police Department,unknown,
fairfield-police-department,Fairfield Police Department,unknown,
farmersville-police-department,Farmersville Police Department,civicplus,homepage_url:html=civicplus
ferndale-police-department,Ferndale Police Department,unknown,
firebaugh-police-department,Firebaugh Police Department,unknown,
folsom-lake-college-police-department,Folsom Lake College Police Department,unknown,
folsom-police-department,Folsom Police Department,unknown,
fontana-police-department,Fontana Police Department,crimemapping,homepage_url:html=crimemapping
fontana-unified-school-district-police-department,Fontana Unified School District Police Department,unknown,
foothillde-anza-community-college-district-police-department,Foothill/De Anza Community College District Police Department,unknown,
fort-bragg-police-department,Fort Bragg Police Department,unknown,
foster-city-police-department,Foster City Police Department,unknown,
fountain-valley-police-department,Fountain Valley Police Department,civicplus,homepage_url:html=civicplus
fowler-police-department,Fowler Police Department,unknown,
fremont-police-department,Fremont Police Department,unknown,
fresno-county-district-attorney,Fresno County District Attorney,unknown,
fresno-county-sheriffs-department,Fresno County Sheriff's Department,unknown,
fresno-police-department,Fresno Police Department,arcgis,homepage_url:html=arcgis
fresno-yosemite-international-airport,Fresno Yosemite International Airport,unknown,
fullerton-police-department,Fullerton Police Department,unknown,
galt-police-department,Galt Police Department,unknown,
gardena-police-department,Gardena Police Department,unknown,
garden-grove-police-department,Garden Grove Police Department,unknown,
gavilan-college-campus-security-department,Gavilan College Campus Security Department,unknown,
gilroy-police-department,Gilroy Police Department,civicplus,homepage_url:html=civicplus
glendale-community-college-district-police-department,Glendale Community College District Police Department,unknown,
glendale-police-department,Glendale Police Department,unknown,
glendale-police-department-park-rangers,Glendale Police Department Park Rangers,unknown,
glendora-police-department,Glendora Police Department,unknown,
glenn-county-district-attorney,Glenn County District Attorney,unknown,
glenn-county-health-and-human-services-agency-special-investigations-unit,Glenn County Health and Human Services Agency Special Investigations Unit,unknown,
glenn-county-sheriffs-departmentcoroner,Glenn County Sheriff's Department/Coroner,rave,homepage_url:html=smart911
gonzales-police-department,Gonzales Police Department,unknown,
grass-valley-police-department,Grass Valley Police Department,unknown,
greenfield-police-department,Greenfield Police Department,civicplus,homepage_url:html=civicplus
grover-beach-police-department,Grover Beach Police Department,civicplus,homepage_url:html=civicplus
guadalupe-police-department,Guadalupe Police Department,unknown,
hacienda-la-puente-school-district-police-and-safety-department,Hacienda-La Puente School District Police and Safety Department,unknown,
hawthorne-police-department,Hawthorne Police Department,unknown,
hayward-police-department,Hayward Police Department,nixle,homepage_url:html=nixle
hemet-police-department,Hemet Police Department,unknown,
hercules-police-department,Hercules Police Department,unknown,
hermosa-beach-police-department,Hermosa Beach Police Department,unknown,
hesperia-unified-school-district-police-department,Hesperia Unified School District Police Department,unknown,
hollister-police-department,Hollister Police Department,nixle,homepage_url:html=nixle
humboldt-county-district-attorney,Humboldt County District Attorney,civicplus,homepage_url:html=civicplus
humboldt-department-of-health-and-human-services,Humboldt Department of Health and Human Services,civicplus,homepage_url:html=civicplus
huntington-beach-police-department,Huntington Beach Police Department,unknown,
huntington-park-police-department,Huntington Park Police Department,unknown,
huron-police-department,Huron Police Department,unknown,
imperial-county-district-attorney,Imperial County District Attorney,unknown,
imperial-county-sheriffs-department,Imperial County Sheriff's Department,unknown,
imperial-police-department,Imperial Police Department,unknown,
indio-police-department,Indio Police Department,unknown,
inglewood-police-department,Inglewood Police Department,civicplus,homepage_url:html=civicplus
inyo-county-district-attorney,Inyo County District Attorney,citizenrims,homepage_url:html=citizen-rims
ione-police-department,Ione Police Department,unknown,
irvine-police-department,Irvine Police Department,unknown,
irvine-valley-community-college-district-police-department,Irvine Valley Community College District Police Department,unknown,
irwindale-police-department,Irwindale Police Department,civicplus,homepage_url:html=civicplus
jackson-police-department,Jackson Police Department,unknown,
kensington-police-department,Kensington Police Department,unknown,
kerman-police-department,Kerman Police Department,civicplus,homepage_url:html=civicplus
kern-county-district-attorney,Kern County District Attorney,unknown,
kern-county-district-of-parks-and-recreation-police-department,Kern County District of Parks and Recreation Police Department,unknown,
kern-county-sheriffs-department,Kern County Sheriff's Department,nixle,homepage_url:html=nixle
kern-high-school-district-police-department,Kern High School District Police Department,arcgis,homepage_url:html=arcgis
king-city-police-department,King City Police Department,civicplus,homepage_url:html=civicplus
kingsburg-police-department,Kingsburg Police Department,civicplus,homepage_url:html=civicplus
kings-county-district-attorney,Kings County District Attorney,unknown,
kings-county-human-services-agency-fraud-bureau,Kings County Human Services Agency Fraud Bureau,unknown,
kings-county-sheriffs-department,Kings County Sheriff's Department,unknown,
lafayette-police-department,Lafayette Police Department,unknown,
laguna-beach-police-department,Laguna Beach Police Department,unknown,
la-habra-police-department,La Habra Police Department,civicplus,homepage_url:html=civicplus
la-impact,L.A. Impact,unknown,
lake-county-district-attorney,Lake County District Attorney,civicplus,homepage_url:html=civicplus
lake-county-sheriffs-department,Lake County Sheriff's Department,civicplus,homepage_url:html=civicplus
lakeport-police-department,Lakeport Police Department,nixle,homepage_url:html=nixle
lake-shastina-district-police-department,Lake Shastina District Police Department,unknown,
la-mesa-police-department,La Mesa Police Department,civicplus,homepage_url:html=civicplus
la-metro-department-of-public-safety,L.A. Metro Department of Public Safety,unknown,
lancaster-police-department,Lancaster Police Department,unknown,
la-palma-police-department,La Palma Police Department,civicplus,homepage_url:html=civicplus
lassen-county-district-attorney,Lassen County District Attorney,unknown,
lathrop-police-department,Lathrop Police Department,unknown,
la-verne-police-department,La Verne Police Department,nixle,homepage_url:html=nixle
lemoore-police-department,Lemoore Police Department,unknown,
lindsay-department-of-public-safety,Lindsay Department of Public Safety,unknown,
livermore-police-department,Livermore Police Department,unknown,
livingston-police-department,Livingston Police Department,unknown,
lodi-police-department,Lodi Police Department,civicplus,homepage_url:html=civicplus
lompoc-police-department,Lompoc Police Department,unknown,
long-beach-department-of-disaster-preparedness-and-emergency-communications,Long Beach Department of Disaster Preparedness and Emergency Communications,rave,homepage_url:html=rave
long-beach-police-department,Long Beach Police Department,rave,homepage_url:html=rave
long-beach-unified-school-district-safety-department,Long Beach Unified School District Safety Department,unknown,
los-alamitos-police-department,Los Alamitos Police Department,civicplus,homepage_url:html=civicplus
los-altos-police-department,Los Altos Police Department,civicplus,homepage_url:html=civicplus
los-angeles-city-department-of-recreation-and-parks-park-ranger-division,Los Angeles City Department of Recreation and Parks Park Ranger Division,unknown,
los-angeles-county-department-of-medical-examiner,Los Angeles County Department of Medical Examiner,rave,homepage_url:html=rave
los-angeles-county-district-attorney,Los Angeles County District Attorney,unknown,
los-angeles-county-probation-department,Los Angeles County Probation Department,rave,homepage_url:html=rave
los-angeles-county-sheriffs-department,Los Angeles County Sheriff's Department,crimemapping,feed_url:html=CrimeMapping
los-angeles-police-department,Los Angeles Police Department,unknown,
los-angeles-port-police-department,Los Angeles Port Police Department,crimemapping,homepage_url:html=crimemapping
los-angeles-public-works-department-investigation-and-enforcement-division,Los Angeles Public Works Department Investigation and Enforcement Division,unknown,
los-angeles-school-police-department,Los Angeles School Police Department,unknown,
los-angeles-watershed-protection-enforcement-unit,Los Angeles Watershed Protection Enforcement Unit,unknown,
los-angeles-world-airports-police-department,Los Angeles World Airports Police Department,rave,homepage_url:html=rave
los-banos-police-department,Los Banos Police Department,rave,homepage_url:html=rave
los-gatosmonte-sereno-police-department,Los Gatos/Monte Sereno Police Department,civicplus,homepage_url:html=civicplus
loyola-marymount-university-office-of-public-safety,Loyola Marymount University Office of Public Safety,unknown,
madera-county-district-attorney,Madera County District Attorney,unknown,
madera-county-sheriffs-department,Madera County Sheriff's Department,unknown,
madera-police-department,Madera Police Department,unknown,
mammoth-lakes-police-department,Mammoth Lakes Police Department,civicplus,homepage_url:html=civicplus
manhattan-beach-police-department,Manhattan Beach Police Department,unknown,
marina-department-of-public-safety,Marina Department of Public Safety,civicplus,homepage_url:html=civicplus
marin-community-college-district-police-department,Marin Community College District Police Department,unknown,
marin-county-coroner,Marin County Coroner,unknown,
marin-county-district-attorney,Marin County District Attorney,unknown,
marin-county-health-human-services,Marin County Health & Human Services,unknown,
marin-municipal-water-district,Marin Municipal Water District,unknown,
mariposa-county-district-attorney,Mariposa County District Attorney,civicplus,homepage_url:html=civicplus
mariposa-county-sheriffs-department,Mariposa County Sheriff's Department,civicplus,homepage_url:html=civicplus
marysville-police-department,Marysville Police Department,unknown,
mcfarland-police-department,McFarland Police Department,civicplus,homepage_url:html=civicplus
mendocino-county-district-attorney,Mendocino County District Attorney,unknown,
mendocino-county-sheriffs-department,Mendocino County Sheriff's Department,nixle,homepage_url:html=nixle
mendota-police-department,Mendota Police Department,unknown,
menifee-police-department,Menifee Police Department,arcgis,homepage_url:html=arcgis
merced-community-college-police-department,Merced Community College Police Department,unknown,
merced-county-district-attorney,Merced County District Attorney,civicplus,homepage_url:html=civicplus
merced-county-sheriffs-department,Merced County Sheriff's Department,civicplus,homepage_url:html=civicplus
merced-police-department,Merced Police Department,unknown,
mill-valley-police-department,Mill Valley Police Department,civicplus,homepage_url:html=civicplus
milpitas-police-department,Milpitas Police Department,civicplus,homepage_url:html=civicplus
mira-costa-community-college-district-police-department,Mira Costa Community College District Police Department,unknown,
modesto-police-department,Modesto Police Department,civicplus,homepage_url:html=civicplus
modoc-county-sheriffs-department,Modoc County Sheriff's Department,unknown,
mono-county-district-attorney,Mono County District Attorney,unknown,
monrovia-police-department,Monrovia Police Department,unknown,
montclair-police-department,Montclair Police Department,unknown,
montebello-police-department,Montebello Police Department,socrata,homepage_url:html=socrata
montebello-unified-school-district-police-department,Montebello Unified School District Police Department,unknown,
monterey-county-district-attorney,Monterey County District Attorney,unknown,
