agency_id,canonical_name,detected_platform,detection_source
ross-police-department,Ross Police Department,unknown,
sacramento-city-college-police-department,Sacramento City College Police Department,unknown,
sacramento-county-coroner,Sacramento County Coroner,unknown,
sacramento-county-department-of-human-assistance,Sacramento County Department of Human Assistance,unknown,
sacramento-county-district-attorney,Sacramento County District Attorney,unknown,
sacramento-county-regional-parks-department,Sacramento County Regional Parks Department,unknown,
sacramento-county-sheriffs-department,Sacramento County Sheriff's Department,unknown,
sacramento-regional-transit-district-police-services,Sacramento Regional Transit District Police Services,unknown,
saddleback-community-college-police-department,Saddleback Community College Police Department,unknown,
saint-helena-police-department,Saint Helena Police Department,unknown,
salinas-police-department,Salinas Police Department,unknown,
san-benito-county-district-attorney,San Benito County District Attorney,unknown,
san-benito-county-sheriffs-department,San Benito County Sheriff's Department,unknown,
san-benito-office-of-emergency-services,San Benito Office of Emergency Services,unknown,
san-bernardino-community-college-district-police-department,San Bernardino Community College District Police Department,unknown,
san-bernardino-county-district-attorney,San Bernardino County District Attorney,unknown,
san-bernardino-county-human-services,San Bernardino County Human Services,unknown,
san-bernardino-county-sheriff-coroner,San Bernardino County Sheriff-Coroner,rave,homepage_url:html=smart911
san-bernardino-police-department,San Bernardino Police Department,civicplus,homepage_url:html=civicplus
san-bernardino-unified-school-district-police-department,San Bernardino Unified School District Police Department,unknown,
san-carlos-police-department,San Carlos Police Department,unknown,
sand-city-police-department,Sand City Police Department,unknown,
san-diego-community-college-district-police-department,San Diego Community College District Police Department,unknown,
san-diego-county-bureau-of-public-assistance-investigations,San Diego County Bureau of Public Assistance Investigations,unknown,
san-diego-county-district-attorney,San Diego County District Attorney,unknown,
san-diego-county-law-enforcement-training-managers-association,San Diego County Law Enforcement Training Manager's Association,unknown,
san-diego-county-medical-examiner,San Diego County Medical Examiner,unknown,
san-diego-county-probation-department,San Diego County Probation Department,unknown,
san-diego-county-sheriffs-department,San Diego County Sheriff's Department,nixle,feed_url:html=nixle
san-diego-harbor-police-department-port-of,San Diego Harbor Police Department Port Of,unknown,
san-diego-police-department,San Diego Police Department,arcgis,homepage_url:html=arcgis
san-diego-unified-school-district-police-department,San Diego Unified School District Police Department,unknown,
san-fernando-police-department,San Fernando Police Department,unknown,
san-francisco-community-college-district-police-department,San Francisco Community College District Police Department,unknown,
san-francisco-county-department-of-emergency-management,San Francisco County Department of Emergency Management,unknown,
san-francisco-county-district-attorney,San Francisco County District Attorney,unknown,
san-francisco-county-medical-examiner,San Francisco County Medical Examiner,unknown,
san-francisco-county-sheriffs-department,San Francisco County Sheriff's Department,rave,homepage_url:html=rave
san-francisco-international-airport-communications,San Francisco International Airport Communications,unknown,
san-francisco-police-department,San Francisco Police Department,unknown,
sanger-police-department,Sanger Police Department,unknown,
san-jacinto-police-department,San Jacinto Police Department,unknown,
san-joaquin-county-district-attorney,San Joaquin County District Attorney,unknown,
san-joaquin-county-probation-department,San Joaquin County Probation Department,unknown,
san-joaquin-county-sheriffs-department,San Joaquin County Sheriff's Department,unknown,
san-joaquin-delta-college-police-department,San Joaquin Delta College Police Department,unknown,
san-joseevergreen-community-college-district-police-department,San Jose/Evergreen Community College District Police Department,unknown,
san-jose-police-department,San Jose Police Department,unknown,
san-jose-unified-school-district-police-department,San Jose Unified School District Police Department,unknown,
san-leandro-police-department,San Leandro Police Department,unknown,
san-luis-obispo-county-district-attorney,San Luis Obispo County District Attorney,unknown,
san-luis-obispo-county-sheriffs-department,San Luis Obispo County Sheriff's Department,unknown,
san-luis-obispo-police-department,San Luis Obispo Police Department,unknown,
san-marino-police-department,San Marino Police Department,unknown,
san-mateo-county-coroner,San Mateo County Coroner,unknown,
san-mateo-county-district-attorney,San Mateo County District Attorney,unknown,
san-mateo-county-public-safety-communications-center,San Mateo County Public Safety Communications Center,unknown,
san-mateo-county-sheriffs-office,San Mateo County Sheriff's Office,unknown,
san-pablo-police-department,San Pablo Police Department,unknown,
san-rafael-police-department,San Rafael Police Department,nixle,homepage_url:html=nixle
san-ramon-police-department,San Ramon Police Department,unknown,
santa-ana-police-department,Santa Ana Police Department,rave,homepage_url:html=rave
santa-ana-unified-school-district-police-department,Santa Ana Unified School District Police Department,unknown,
santa-barbara-airport-police-department,Santa Barbara Airport Police Department,unknown,
santa-barbara-county-district-attorney,Santa Barbara County District Attorney,unknown,
santa-barbara-county-sheriffs-department,Santa Barbara County Sheriff's Department,unknown,
santa-barbara-police-department,Santa Barbara Police Department,arcgis,homepage_url:html=arcgis
santa-clara-county-communications,Santa Clara County Communications,unknown,
santa-clara-county-district-attorney,Santa Clara County District Attorney,unknown,
santa-clara-county-district-attorney-public-assistance-fraud-unit,Santa Clara County District Attorney Public Assistance Fraud Unit,unknown,
santa-clara-county-sheriffs-department,Santa Clara County Sheriff's Department,unknown,
santa-clara-university-department-of-campus-safety,Santa Clara University Department of Campus Safety,unknown,
santa-cruz-county-district-attorney,Santa Cruz County District Attorney,unknown,
santa-cruz-county-sheriffs-department,Santa Cruz County Sheriff's Department,unknown,
santa-cruz-police-department,Santa Cruz Police Department,unknown,
santa-fe-springs-police-services,Santa Fe Springs Police Services,unknown,
santa-maria-police-department,Santa Maria Police Department,unknown,
santa-monica-community-college-district-police-department,Santa Monica Community College District Police Department,unknown,
santa-monica-office-of-emergency-management,Santa Monica Office of Emergency Management,unknown,
santa-monica-police-department,Santa Monica Police Department,arcgis,homepage_url:html=arcgis
santa-paula-police-department,Santa Paula Police Department,unknown,
santa-rosa-junior-college-police-department,Santa Rosa Junior College Police Department,unknown,
santa-rosa-police-department,Santa Rosa Police Department,civicplus,homepage_url:html=civicplus
sausalito-police-department,Sausalito Police Department,unknown,
seal-beach-police-department,Seal Beach Police Department,unknown,
seaside-police-department,Seaside Police Department,civicplus,homepage_url:html=civicplus
selma-police-department,Selma Police Department,rave,homepage_url:html=rave
shasta-area-safety-communications-agency-shascom-911,Shasta Area Safety Communications Agency (SHASCOM-911),unknown,
shasta-county-district-attorney,Shasta County District Attorney,unknown,
shasta-county-marshal,Shasta County Marshal,unknown,
shasta-county-sheriffs-department,Shasta County Sheriff's Department,unknown,
sierra-college-police-department,Sierra College Police Department,unknown,
sierra-county-district-attorney,Sierra County District Attorney,unknown,
sierra-county-sheriffs-office,Sierra County Sheriff's Office,civicplus,homepage_url:html=civicplus
sierra-madre-police-department,Sierra Madre Police Department,unknown,
signal-hill-police-department,Signal Hill Police Department,unknown,
simi-valley-police-department,Simi Valley Police Department,unknown,
siskiyou-county-district-attorney,Siskiyou County District Attorney,unknown,
snowline-joint-unified-school-district-police-department,Snowline Joint Unified School District Police Department,unknown,
solano-community-college-district-department-of-public-safety,Solano Community College District Department of Public Safety,unknown,
solano-county-district-attorney,Solano County District Attorney,unknown,
solano-county-sheriffs-department,Solano County Sheriff's Department,unknown,
solano-county-special-investigation-bureau,Solano County Special Investigation Bureau,unknown,
soledad-police-department,Soledad Police Department,unknown,
sonoma-county-district-attorney,Sonoma County District Attorney,unknown,
sonoma-county-human-services-department,Sonoma County Human Services Department,unknown,
sonoma-county-probation-department,Sonoma County Probation Department,unknown,
sonoma-county-sheriffs-office,Sonoma County Sheriff's Office,nixle,homepage_url:html=nixle
sonoma-marin-area-rail-transit-smart,Sonoma-Marin Area Rail Transit (SMART),unknown,
sonoma-police-department,Sonoma Police Department,unknown,
sonora-police-department,Sonora Police Department,unknown,
south-bay-regional-public-communications-authority,South Bay Regional Public Communications Authority,unknown,
south-gate-police-department,South Gate Police Department,unknown,
south-pasadena-police-department,South Pasadena Police Department,nixle,homepage_url:html=nixle
southwestern-community-college-police-department,Southwestern Community College Police Department,unknown,
stallion-springs-police-department,Stallion Springs Police Department,unknown,
stanford-university-department-of-public-safety,Stanford University Department of Public Safety,unknown,
stanislaus-county-district-attorney,Stanislaus County District Attorney,unknown,
stanislaus-county-sheriffs-department,Stanislaus County Sheriff's Department,unknown,
stanislaus-regional-9-1-1,Stanislaus Regional 9-1-1,unknown,
state-center-community-college-district-police-department,State Center Community College District Police Department,unknown,
stockton-police-department,Stockton Police Department,arcgis,homepage_url:html=arcgis
stockton-port-district-police-department,Stockton Port District Police Department,unknown,
stockton-unified-school-district-police-department,Stockton Unified School District Police Department,unknown,
sunnyvale-department-of-public-safety,Sunnyvale Department of Public Safety,unknown,
sutter-county-district-attorney,Sutter County District Attorney,unknown,
sutter-county-health-and-human-services,Sutter County Health and Human Services,unknown,
sutter-county-sheriffs-department,Sutter County Sheriff's Department,crimemapping,homepage_url:html=crimemapping
sutter-creek-police-department,Sutter Creek Police Department,unknown,
tehachapi-police-department,Tehachapi Police Department,civicplus,homepage_url:html=civicplus
tehama-county-district-attorney,Tehama County District Attorney,arcgis,homepage_url:html=arcgis
temecula-police-department,Temecula Police Department,civicplus,homepage_url:html=civicplus
tiburon-police-department,Tiburon Police Department,civicplus,homepage_url:html=civicplus
torrance-police-department,Torrance Police Department,unknown,
tracy-police-department,Tracy Police Department,rave,homepage_url:html=rave
trinidad-police-department,Trinidad Police Department,unknown,
trinity-county-district-attorney,Trinity County District Attorney,civicplus,homepage_url:html=civicplus
trinity-county-marshal,Trinity County Marshal,unknown,
trinity-county-sheriffs-department,Trinity County Sheriff's Department,civicplus,homepage_url:html=civicplus
truckee-police-department,Truckee Police Department,unknown,
tulare-county-district-attorney,Tulare County District Attorney,unknown,
tulare-county-probation-department,Tulare County Probation Department,unknown,
tulare-county-sheriffs-department,Tulare County Sheriff's Department,unknown,
tulare-police-department,Tulare Police Department,unknown,
tulelake-police-department,Tulelake Police Department,unknown,
tuolumne-county-district-attorney,Tuolumne County District Attorney,civicplus,homepage_url:html=civicplus
turlock-police-department,Turlock Police Department,unknown,
tustin-police-department,Tustin Police Department,civicplus,homepage_url:html=civicplus
twin-rivers-unified-school-district-police-services,Twin Rivers Unified School District Police Services,unknown,
uc-berkeley-police-department,UC Berkeley Police Department,unknown,
uc-davis-police-department,UC Davis Police Department,unknown,
uc-los-angeles-police-department,UC Los Angeles Police Department,unknown,
uc-merced-police-department,UC Merced Police Department,unknown,
uc-santa-barbara-police-department,UC Santa Barbara Police Department,unknown,
ukiah-police-department,Ukiah Police Department,unknown,
union-city-police-department,Union City Police Department,civicplus,homepage_url:html=civicplus
union-pacific-railroad-police,Union Pacific Railroad Police,unknown,
university-of-la-verne-campus-safety-department,University of La Verne Campus Safety Department,unknown,
university-of-san-diego-public-safety-department,University of San Diego Public Safety Department,unknown,
university-of-san-francisco-public-safety-department,University of San Francisco Public Safety Department,unknown,
university-of-southern-california-department-of-public-safety,University of Southern California Department of Public Safety,rave,homepage_url:html=rave
upland-police-department,Upland Police Department,crimemapping,homepage_url:html=crimemapping
us-attorneys-office-central-district-of-california,U.S. Attorney's Office Central District of California,unknown,
vallejo-police-department,Vallejo Police Department,unknown,
val-verde-unified-school-district-police-department,Val Verde Unified School District Police Department,unknown,
ventura-county-community-college-district-police-department,Ventura County Community College District Police Department,unknown,
ventura-county-district-attorney,Ventura County District Attorney,unknown,
ventura-county-medical-examiner,Ventura County Medical Examiner,unknown,
ventura-county-sheriffs-department,Ventura County Sheriff's Department,nixle,homepage_url:html=nixle
ventura-harbor-patrol,Ventura Harbor Patrol,unknown,
vernon-police-department,Vernon Police Department,unknown,
victor-valley-college-police-department,Victor Valley College Police Department,unknown,
victor-valley-union-high-school-district-police-department,Victor Valley Union High School District Police Department,unknown,
visalia-police-department,Visalia Police Department,unknown,
walnut-creek-police-department,Walnut Creek Police Department,unknown,
watsonville-police-department,Watsonville Police Department,civicplus,homepage_url:html=civicplus
weed-police-department,Weed Police Department,unknown,
west-cities-police-communications-center,West Cities Police Communications Center,unknown,
west-covina-police-department,West Covina Police Department,unknown,
westminster-police-department,Westminster Police Department,unknown,
westmorland-police-department,Westmorland Police Department,unknown,
west-sacramento-police-department,West Sacramento Police Department,unknown,
west-valley-mission-community-college-district-police-department,West Valley-Mission Community College District Police Department,unknown,
wheatland-police-department,Wheatland Police Department,unknown,
whittier-college-department-of-campus-safety,Whittier College Department of Campus Safety,unknown,
whittier-police-department,Whittier Police Department,unknown,
williams-police-department,Williams Police Department,unknown,
willits-police-department,Willits Police Department,civicplus,homepage_url:html=civicplus
windsor-police-department,Windsor Police Department,civicplus,homepage_url:html=civicplus
winters-police-department,Winters Police Department,civicplus,homepage_url:html=civicplus
woodlake-police-department,Woodlake Police Department,unknown,
woodland-police-department,Woodland Police Department,civicplus,homepage_url:html=civicplus
yolo-county-district-attorney,Yolo County District Attorney,unknown,
yolo-county-health-human-services,Yolo County Health Human Services,unknown,
yolo-county-sheriffs-department,Yolo County Sheriff's Department,nixle,homepage_url:html=nixle
yolo-emergency-communications-agency,Yolo Emergency Communications Agency,unknown,
yuba-city-police-department,Yuba City Police Department,arcgis,homepage_url:html=arcgis
yuba-county-district-attorney,Yuba County District Attorney,unknown,
